Date,r_SGP
2015-01-05,-1.9926366064123056
2015-01-06,-1.871215462044874
2015-01-07,0.18617496530696268
2015-01-08,2.3145166330733105
2015-01-09,-1.072246405774708
2015-01-12,0.008248679986534965
2015-01-13,-0.10558802077288197
2015-01-14,-0.8174182163918994
2015-01-15,0.48595052661686416
2015-01-16,-1.1419514872171568
2015-01-19,-0.4682161149575281
2015-01-20,1.1390584008320737
2015-01-21,0.3842462895986863
2015-01-22,0.40631186746792486
2015-01-23,0.6976332638324424
2015-01-26,-0.8901105564287359
2015-01-27,0.04255314031343732
2015-01-28,0.3601015900872633
2015-01-29,-0.23820470524905826
2015-01-30,-0.7808307014054447
2015-02-02,0.6896125498841048
2015-02-03,-0.7597483203913322
2015-02-04,0.635413931992595
2015-02-05,-0.5923050835763036
2015-02-06,0.3376400088011983
2015-02-09,0.26347500452975775
2015-02-10,-0.002579004011934597
2015-02-11,0.07380367219296273
2015-02-12,-0.6658430809495495
2015-02-13,-0.32566081402918395
2015-02-16,-0.23586230723402465
2015-02-17,-0.33497246133669073
2015-02-18,0.3867210590655001
2015-02-23,0.3974742890909228
2015-02-24,0.4476254671775803
2015-02-25,0.27737421704301507
2015-02-26,-0.43190057984652813
2015-02-27,-0.43603873669140764
2015-03-02,-0.7995899362316842
2015-03-03,0.35909989719692365
2015-03-04,0.18557550972802586
2015-03-05,-0.2585456960889924
2015-03-06,0.358669566207189
2015-03-09,-0.09031849387379254
2015-03-10,-0.020263141041192773
2015-03-11,-0.6473291158991293
2015-03-12,-0.31638824969078233
2015-03-13,-0.1522067439434396
2015-03-16,0.4516931883354034
2015-03-17,-0.17113794463315155
2015-03-18,0.1672237175524193
2015-03-19,0.5949463562671554
2015-03-20,0.8208061069306783
2015-03-23,0.42545375580855876
2015-03-24,-0.1012908611673714
2015-03-25,0.28236217779062567
2015-03-26,0.49223478122855907
2015-03-27,0.48237589375832063
2015-03-30,0.05525696315100101
2015-03-31,-0.6157338075195113
2015-04-01,0.15298584256129805
2015-04-02,0.2996620519414398
2015-04-06,0.10616166042559472
2015-04-07,0.24440567527800208
2015-04-08,0.3957911741362379
2015-04-09,-0.3005988394998768
2015-04-10,-0.21889070304186645
2015-04-13,0.2539463939756536
2015-04-14,1.3716995786940582
2015-04-15,0.8705468026403983
2015-04-16,0.3271410525639356
2015-04-17,0.39431058027843097
2015-04-20,-0.5495847212155381
2015-04-21,-0.24759679928351405
2015-04-22,-0.0735633698086106
2015-04-23,0.6599295683970943
2015-04-24,0.5357019285633499
2015-04-27,0.7375604897103906
2015-04-28,0.03920380197486948
2015-04-29,0.2931302838185898
2015-04-30,0.09634225049597196
2015-05-04,-0.49932289530695745
2015-05-05,-0.6317044681970241
2015-05-06,-0.03555739806329846
2015-05-07,-0.5527075245574106
2015-05-08,0.4780879225923189
2015-05-11,0.6467748519204677
2015-05-12,-1.2376628369657305
2015-05-13,0.16247676959216514
2015-05-14,0.13226940920670252
2015-05-15,0.26045715453217455
2015-05-18,0.2181639997598522
2015-05-19,-0.154366347389602
2015-05-20,-0.359640130618556
2015-05-21,-0.1468317392696293
2015-05-22,-0.2524106530561017
2015-05-25,0.0771108716301711
2015-05-26,-0.10251008370080601
2015-05-27,-1.287627455839946
2015-05-28,-0.48342561690478414
2015-05-29,-0.9271050685532679
2015-06-02,-2.1943997484513926
2015-06-03,0.7433527183302037
2015-06-04,0.42867342916757784
2015-06-05,-0.2272480971762214
2015-06-08,-0.4550673835248033
2015-06-09,0.755569759650122
2015-06-10,1.5215897458009102
2015-06-11,0.6931594496895369
2015-06-12,-0.1074372303824538
2015-06-15,-1.3059902384062065
2015-06-16,-0.647249707904034
2015-06-17,1.127741321279831
2015-06-18,-0.6385761960384476
2015-06-19,0.14899731998788926
2015-06-22,0.7075451305629702
2015-06-23,0.7208688776742053
2015-06-24,0.28761242584143104
2015-06-25,0.36592413006472313
2015-06-26,-1.5436948181131218
2015-06-29,-1.0572975079579936
2015-06-30,1.1438250663831702
2015-07-01,-0.28252359341657224
2015-07-02,0.20732201127447034
2015-07-03,1.0645426548573165
2015-07-06,-0.10856697827682753
2015-07-07,0.2890738137166571
2015-07-08,-1.5356112846226881
2015-07-09,-0.551667994277994
2015-07-10,0.15584639033113187
2015-07-13,1.0185567026366862
2015-07-14,0.15872826801116638
2015-07-15,0.6774545917518374
2015-07-16,0.8043225874426878
2015-07-20,0.35234179037245655
2015-07-21,-0.006502000494515238
2015-07-22,-0.2464845010979673
2015-07-23,0.3753512833877179
2015-07-24,0.08084771243871891
2015-07-27,-1.202310296562813
2015-07-28,-0.6222475048006127
2015-07-29,0.21326618731466787
2015-07-30,-0.7190032390365788
2015-07-31,-1.3913975786005344
2015-08-03,-0.32871367021197845
2015-08-04,-0.3576898540226578
2015-08-05,-0.4835549016959224
2015-08-06,0.11704397970198167
2015-08-07,0.0
2015-08-11,-2.461403811029158
2015-08-12,-4.705848007264369
2015-08-13,1.9100338366907177
2015-08-14,1.0669449550525085
2015-08-17,-1.973993855226848
2015-08-18,-0.2101504164058341
2015-08-19,-0.5400178480182177
