Date,r_IDN
2015-01-05,-0.28351476589090113
2015-01-06,-0.7019941080714296
2015-01-07,1.1651350258426183
2015-01-08,0.4840763630122151
2015-01-09,0.5387171112431159
2015-01-12,-1.4895125932097815
2015-01-13,-0.019662057387206316
2015-01-14,-0.4825598219766652
2015-01-15,0.4617720938396063
2015-01-16,-0.9753356770142353
2015-01-19,0.27815367957848786
2015-01-20,-0.14695716050000132
2015-01-21,0.6000862241702386
2015-01-22,0.5385678732863542
2015-01-23,2.573749770697632
2015-01-26,-1.2564309333027477
2015-01-27,0.19139470339012157
2015-01-28,-0.7484325951464861
2015-01-29,0.12531282432467175
2015-01-30,0.12938208271274124
2015-02-02,0.8291870382303497
2015-02-03,0.7384250684107788
2015-02-04,1.1174995936938503
2015-02-05,-1.0644230592060797
2015-02-06,0.15222305254215535
2015-02-09,1.3262657216737317
2015-02-10,-0.40681821499247955
2015-02-11,0.9208343207551289
2015-02-12,0.5058287676723712
2015-02-13,0.9994533604999608
2015-02-16,-0.34208492965290843
2015-02-17,-0.10426869240985942
2015-02-18,1.9289389673654167
2015-02-20,1.0188157790362935
2015-02-23,-0.6816550212630924
2015-02-24,0.32080815773908467
2015-02-25,0.5124578206999507
2015-02-26,-0.06483734594383003
2015-02-27,0.21458546192536113
2015-03-02,0.4878159283902875
2015-03-03,-0.06499020154494262
2015-03-04,-0.21223584519452746
2015-03-05,0.16738411312816934
2015-03-06,1.574022713034549
2015-03-09,-1.739185669845483
2015-03-10,0.6161529142193596
2015-03-11,-0.831638057239599
2015-03-12,0.023953547404289222
2015-03-13,-0.6254339510839796
2015-03-16,0.7868006283045116
2015-03-17,-0.12296930315844957
2015-03-18,0.3532396840607131
2015-03-19,0.9408144042857142
2015-03-20,-0.21039407502951876
2015-03-23,0.22123650055861352
2015-03-24,0.8004640787016394
2015-03-25,0.4154652586135968
2015-03-26,-0.22290657648346734
2015-03-27,0.17968398967696853
2015-03-30,0.4032334455074617
2015-03-31,2.3899723490418503
2015-04-01,-1.236496066751948
2015-04-02,-0.05626190231053784
2015-04-06,0.6254393946153516
2015-04-07,0.6551252734586863
2015-04-08,-1.0697772145220543
2015-04-09,-0.1606176087434494
2015-04-10,-0.1830327166083013
2015-04-13,0.019135648925797073
2015-04-14,-0.7247049386346095
2015-04-15,0.3007143867873722
2015-04-16,0.32589073721817136
2015-04-17,-0.43627532110583883
2015-04-20,0.4768996196621507
2015-04-21,0.783352367335155
2015-04-22,-0.463878200323193
2015-04-23,-0.3311516409056746
2015-04-24,-0.5353583779486246
2015-04-27,-5.946579581392079
2015-04-28,-1.8259164892574542
2015-04-29,-3.128227875143667
2015-04-30,0.5642060160888684
2015-05-04,1.9052066316997198
2015-05-05,0.6653722464273477
2015-05-06,0.294837216130225
2015-05-07,-1.0209789218916623
2015-05-08,0.25358905849585206
2015-05-11,0.024283914992661398
2015-05-12,1.207516512161652
2015-05-13,0.33923686894319394
2015-05-15,-2.4331012127937854
2015-05-18,1.19809753468445
2015-05-19,1.1765430662364593
2015-05-20,1.3061729745922552
2015-05-21,2.3410877937722607
2015-05-22,-0.44616097603687255
2015-05-25,-1.596515401143727
2015-05-26,0.10892828243176517
2015-05-27,-1.7746664990808199
2015-05-28,-1.196884250612895
2015-05-29,-0.2774347263180164
2015-06-01,-0.3746744693389185
2015-06-03,-3.111652502375218
2015-06-04,-0.3903146286117915
2015-06-05,1.0530768146845217
2015-06-08,-2.2725909160866298
2015-06-09,-3.4647008040800014
2015-06-10,-0.42912955190518914
2015-06-11,-1.5128303910688998
2015-06-12,1.3287283789202164
2015-06-15,-2.244257916350158
2015-06-16,1.8526620916372671
2015-06-17,3.2620371570441455
2015-06-18,-1.4454696550443984
2015-06-19,2.1243671188360502
2015-06-22,-0.32570069807343577
2015-06-23,-0.3317437607356772
2015-06-24,-2.203433422681008
2015-06-25,-0.3592002111589889
2015-06-26,1.4034901137969982
2015-06-29,-0.6914253431708693
2015-06-30,0.0025998614332959544
2015-07-01,0.4717245586408934
2015-07-02,1.506433303948488
2015-07-03,0.23682557568282434
2015-07-06,-2.225526643011886
2015-07-07,-0.008342524131470075
2015-07-08,-1.1543931961021865
2015-07-09,-0.11248292927663488
2015-07-10,1.0221505752186426
2015-07-13,0.6637811147175489
2015-07-14,0.5732923120421786
2015-07-15,-1.8723444515774557
2015-07-22,2.1632118115756898
2015-07-23,-0.810886904729924
2015-07-24,-0.8837581431035476
2015-07-27,-3.299701421220972
2015-07-28,-3.0547539227843785
2015-07-29,0.40739086651108614
2015-07-30,-0.5728766739030016
2015-07-31,3.012529467730427
2015-08-03,2.453605378708612
2015-08-04,-0.641187447336608
2015-08-05,3.1944908722738163
2015-08-06,0.1651836400388857
2015-08-07,-1.3385833119897335
2015-08-10,-0.1141529414338079
2015-08-11,-3.4361158682141126
2015-08-12,-3.8104906831112935
2015-08-13,2.342454265983464
2015-08-14,0.416155964361274
2015-08-18,-2.8633161652856978
2015-08-19,-0.7566163311739252
2015-08-20,-1.7290787049367549
2015-08-21,-2.6597964144294335
2015-08-24,-4.205213584741777
2015-08-25,3.4959650847035975
2015-08-26,1.7003481721619813
2015-08-27,6.2256725699871085
2015-08-28,0.612537934468904
2015-08-31,0.9346074129789628
2015-09-01,-3.942412958527981
2015-09-02,-0.19115740638184153
2015-09-03,-0.0014131492861158372
2015-09-04,-0.38300472920197154
2015-09-07,-2.188428155357896
2015-09-08,0.3463110855479676
2015-09-09,-0.029714467703201002
2015-09-10,-1.3219890273726247
2015-09-11,0.020077137672655843
2015-09-14,0.5722997038014449
2015-09-15,-0.22367814684242693
2015-09-16,-0.5589169496495413
2015-09-17,2.482459575542136
2015-09-18,-0.7057363478690918
2015-09-21,-1.3295011206136007
2015-09-22,-0.686641459258245
2015-09-23,-4.986948390969341
2015-09-25,-2.54555057010609
2015-09-28,-2.794529643583253
2015-09-29,2.5018890875846065
2015-09-30,2.8477550878359437
2015-10-01,-0.25784099850554426
2015-10-02,-1.8187316023456142
2015-10-05,5.734131463465005
2015-10-06,4.942965515913844
2015-10-07,1.6038391084179573
2015-10-08,0.5822681776767691
2015-10-09,2.862396099292415
2015-10-12,1.493288838807481
2015-10-13,-4.386152905837741
2015-10-15,0.20839546778372084
2015-10-16,0.21207481955700425
2015-10-19,2.067804653114513
2015-10-20,1.1857059839819455
2015-10-21,-0.012188742169749653
2015-10-22,0.47653888971962055
2015-10-23,2.5159600429751916
2015-10-26,2.214674160028275
2015-10-27,0.26008121704651843
2015-10-28,-2.350425717319627
2015-10-29,-3.7545818576979624
2015-10-30,-2.474964490891056
2015-11-02,-1.7056036610394434
2015-11-03,3.4649349311617983
2015-11-04,2.6913297936156986
2015-11-05,-1.1472158490346858
2015-11-06,-0.07778443239805158
2015-11-09,-2.4912910008158153
2015-11-10,-2.077900690935689
2015-11-11,-0.6966985016430477
2015-11-12,0.96441076370078
2015-11-13,1.186036637172118
2015-11-16,-0.7438460491273388
2015-11-17,2.2299994730997503
2015-11-18,0.02532418457611087
2015-11-19,0.3305413158119568
