m,best_val_auc,best_train_auc,best_epoch,coh_mean,coh_median,coh_min,coh_max,phi_median_deg,phi_min_deg,phi_max_deg,fos_median,fos_min,fos_max
0.0,0.9654594659805298,0.9677252769470215,12,0.0736294686794281,0.0,0.0,2.629986524581909,30.0,30.0,44.994911193847656,14.289619445800781,1.2000746726989746,15.0
0.25,0.9654595255851746,0.9677081108093262,14,0.11732939630746841,0.0,0.0,29.111373901367188,30.0,30.0,43.38208770751953,14.672767639160156,1.2003840208053589,15.0
0.5,0.9654594659805298,0.9676742553710938,21,0.086833655834198,0.0,0.0,2.039790630340576,30.0,30.0,44.9908447265625,14.809990882873535,1.2000385522842407,15.0
0.75,0.9654594659805298,0.9676264524459839,94,0.11231550574302673,0.0,0.0,1.9776358604431152,30.0,30.0,44.99990463256836,14.999823570251465,1.2002665996551514,15.0
1.0,0.9654594659805298,0.967690110206604,41,0.06498199701309204,0.0,0.0,0.9290494918823242,30.0,30.0,44.63096237182617,14.990198135375977,1.2000213861465454,15.0
