dataset,landslide,type,soil_texture_idx,PGA2_max,x,y,predicted_susceptibility
training,0.0,Sandy Clay Loam,7,0.33334726095199585,-1.0659572,-31.39114,0.10379760712385178
training,0.0,Undifferentiated,7,0.13408754765987396,-33.231995,-31.019524,0.346700519323349
training,0.0,Undifferentiated,7,0.20701628923416138,-34.41155,24.589529,0.11092139035463333
training,0.0,Undifferentiated,7,0.2012505978345871,-65.33262,-9.785767,0.0598178505897522
training,0.0,Undifferentiated,7,0.1549624502658844,-55.339993,-36.52205,0.9997934699058533
training,0.0,Undifferentiated,7,0.15584203600883484,-22.008228,-0.24804206,0.08559558540582657
training,0.0,Undifferentiated,7,0.2603357136249542,-37.792374,40.67609,0.0639440193772316
training,0.0,Undifferentiated,7,0.13787060976028442,-47.27415,-20.984243,0.11932699382305145
training,0.0,Undifferentiated,7,0.28290513157844543,-41.038948,41.347313,0.04365246370434761
training,0.0,Undifferentiated,7,0.14307457208633423,-48.51017,-22.570383,0.1866975873708725
training,0.0,Sandy Clay Loam,7,0.3633841872215271,21.141912,-55.090984,0.19021688401699066
training,0.0,Undifferentiated,7,0.13075463473796844,-26.18524,-31.129408,0.20085658133029938
training,0.0,Undifferentiated,7,0.18466851115226746,-66.63701,-11.563007,0.0681234821677208
training,0.0,Undifferentiated,11,0.20123298466205597,49.3899,-11.929619,0.06962795555591583
training,0.0,Sandy Clay Loam,7,0.31288450956344604,11.970892,30.69528,0.06215307116508484
training,0.0,Undifferentiated,7,0.2810571789741516,-37.662193,41.233868,0.1743803769350052
training,0.0,Sandy Clay Loam,7,0.18560384213924408,39.76528,5.6950703,0.5080390572547913
training,0.0,Sandy Clay Loam,7,0.33993440866470337,0.27384156,-62.22126,0.1272425502538681
training,0.0,Sandy Clay Loam,7,0.2490014135837555,23.034706,-41.116825,0.7865738868713379
training,0.0,Sandy Clay Loam,7,0.2917373478412628,-5.8112288,-62.808456,0.25979071855545044
training,0.0,Undifferentiated,7,0.18384355306625366,-59.546062,-18.194145,0.10976811498403549
training,0.0,Undifferentiated,11,0.14176230132579803,72.9089,-22.700663,0.062228843569755554
training,0.0,Sandy Clay Loam,7,0.34566378593444824,3.4493783,-59.040432,0.13752180337905884
training,0.0,Undifferentiated,7,0.137366384267807,-49.531796,-18.795704,0.18308834731578827
training,0.0,Undifferentiated,7,0.19870011508464813,-50.354095,-25.183058,0.8067346811294556
training,0.0,Undifferentiated,7,0.18328967690467834,-52.347942,-27.272177,0.2769484519958496
training,0.0,Sandy Clay Loam,7,0.3164362609386444,5.2701774,-31.92586,0.053357306867837906
training,0.0,Sandy Clay Loam,7,0.28500768542289734,-1.4868172,-29.702965,0.0711159035563469
training,0.0,Undifferentiated,7,0.09735115617513657,-40.725117,6.057915,0.09688925743103027
training,0.0,Undifferentiated,7,0.1421782374382019,-47.52555,-27.962467,0.2899347245693207
training,0.0,Sandy Clay Loam,7,0.40906205773353577,6.9902434,-77.06458,0.7392286658287048
training,0.0,Sandy Clay Loam,7,0.20362862944602966,27.311766,-33.7998,0.4560911953449249
training,0.0,Sandy Clay Loam,7,0.34566378593444824,3.446489,-58.868595,0.1132267415523529
training,0.0,Sandy Clay Loam,7,0.29167431592941284,1.7252488,-28.697302,0.05813898146152496
training,0.0,Sandy Clay Loam,7,0.4833577275276184,12.016571,-81.20661,0.321568101644516
training,0.0,Undifferentiated,7,0.1432560682296753,-19.459291,-28.44852,0.11717488616704941
training,0.0,Undifferentiated,7,0.1979607194662094,-70.2881,3.2356849,0.25827154517173767
training,0.0,Undifferentiated,7,0.1518843024969101,-35.663864,-32.53952,0.3936747610569
training,0.0,Undifferentiated,11,0.13624852895736694,43.954433,-26.62706,0.09025274217128754
training,0.0,Undifferentiated,11,0.15463081002235413,80.27387,-19.040863,0.15213075280189514
training,0.0,Sandy Clay Loam,7,0.3308448791503906,3.0756826,-34.111515,0.07055750489234924
training,0.0,Undifferentiated,7,0.18028105795383453,-54.883957,-13.17183,0.08398373425006866
training,0.0,Sandy Clay Loam,7,0.39841514825820923,4.5992084,-77.789055,0.8414878249168396
training,0.0,Undifferentiated,7,0.15353898704051971,-15.768434,-11.688534,0.09330407530069351
training,0.0,Sandy Clay Loam,11,0.18507002294063568,58.054592,-37.71891,0.20699357986450195
training,0.0,Undifferentiated,7,0.24606706202030182,-46.22102,32.456608,0.05797286704182625
training,0.0,Sandy Clay Loam,7,0.3711678087711334,1.9740117,-75.35501,0.3946838080883026
training,0.0,Sandy Clay Loam,7,0.3920937776565552,18.199926,-68.39061,0.15965817868709564
