column,n_train,n_val,mean_train,mean_val,std_train,std_val,mean_shift_z,std_ratio_val_over_train,ks_stat,ks_pvalue,drift_flag
Prc_mean,59562,9988,218.28901030178739,239.97453422225567,31.16528731531519,2.3503351560987675,0.6958230065734585,0.07541516085891402,0.7779057611822479,0.0,True
ContributingFactor_mean,59562,9988,26395.066152558808,98688.991136553,364263.8436452217,1162458.525877956,0.19846582702401164,3.1912542135533597,0.5796371010714352,0.0,True
BUK_mean,59562,9988,11.36262938054604,11.67441422868028,0.5604079837743626,0.7767728656982934,0.5563533303618591,1.3860845815698548,0.3311219929783239,0.0,True
Elev_mean,59562,9988,712.020770122383,423.5502423297732,460.55228448933883,357.48010898797327,-0.6263578262617163,0.7761987531651218,0.31543511190628987,0.0,True
Slope_mean,59562,9988,23.391681427468,18.123307727470614,9.019253303041888,5.775907543175801,-0.5841252621456527,0.6403975306057524,0.2746755527068331,0.0,True
PGA2_max,59562,9988,0.25106663792429285,0.2519461742698924,0.09042423987371853,0.05365590147568901,0.009726776214296904,0.5933796242094139,0.22618915641249604,0.0,True
SoilThc_mean,59562,9988,13.579733542283105,15.05546630181329,5.964552959572094,4.888201851687269,0.24741716093942714,0.8195420318705587,0.1816870281610018,1.445971630130662e-247,True
soil_texture_idx,59562,9988,7.517309694100265,7.819082899479375,1.3422479118221606,1.6147870834031322,0.22482672740346424,1.2030468210682388,0.07551839145290729,7.1348426051077295e-43,False
