model,High (%),Moderate (%),Low (%),hit_rate_high,fr_high,n_high,n_total
DD,98.23855057876195,0.754906894816306,1.0065425264217414,98.23855057876195,2.947156517362859,85092,255276
PINN-SMOTE,82.31840295252475,0.0,17.681597047475258,82.31840295252475,2.4695520885757425,85092,255276
PINN-DCE,70.94447240395907,10.065425264217414,18.99010233182352,70.94447240395907,2.1283341721187723,85092,255276
